,Name,Text,Time
26,Alex Sammon,"NEW: Sources say AIPAC is gearing up to spend over *$100 MILLION* as part of a campaign to knock the Squad out of congress in 2024. Cori Bush, Ilhan Omar, Jamaal Bowman, Summer Lee, and Rashida Tlaib are all marked for high dollar challenges. https://t.co/6wXDMEBfNE",2023-11-15 19:36:52+00:00
27,Alexandria Ocasio-Cortez,"RT @RepAOC: Today we are announcing an expanded coalition of 24 members of Congress pressing the Biden administration for a bilateral ceasefire in Gaza on the basis of grave violations of children’s rights.

Proud to co-lead with partners @BettyMcCollum04 and @RepMarkPocan. https://t.co/dykqZuaNrW",2023-11-15 21:46:02+00:00
28,Rep. Alexandria Ocasio-Cortez,"Today we are announcing an expanded coalition of 24 members of Congress pressing the Biden administration for a bilateral ceasefire in Gaza on the basis of grave violations of children’s rights.

Proud to co-lead with partners @BettyMcCollum04 and @RepMarkPocan. https://t.co/dykqZuaNrW",2023-11-15 20:07:24+00:00
29,Alexandria Ocasio-Cortez,"RT @zhang_sharon: New: 24 House members, led by @AOC, have sent a letter to Biden and Blinken calling for a ""bilateral ceasefire."" 

""We are profoundly shocked by the grave violations of children’s rights in the context of armed conflict in Israel and the Occupied Palestinian Territory.""",2023-11-15 17:55:34+00:00
30,sharon zhang,"New: 24 House members, led by @AOC, have sent a letter to Biden and Blinken calling for a ""bilateral ceasefire."" 

""We are profoundly shocked by the grave violations of children’s rights in the context of armed conflict in Israel and the Occupied Palestinian Territory.""",2023-11-15 17:16:35+00:00
31,Alexandria Ocasio-Cortez,"RT @RepAOC: Grateful to have joined Rabbis for Ceasefire tonight.

Ceasefire means release the hostages.
Ceasefire means stop the bombardment.
Ceasefire means defend the innocent.
Ceasefire means transcend cycles of violence.
Ceasefire is not just an option. It is our only way out of this. https://t.co/8onOHvSUij",2023-11-14 02:53:05+00:00
32,Rep. Alexandria Ocasio-Cortez,"Grateful to have joined Rabbis for Ceasefire tonight.

Ceasefire means release the hostages.
Ceasefire means stop the bombardment.
Ceasefire means defend the innocent.
Ceasefire means transcend cycles of violence.
Ceasefire is not just an option. It is our only way out of this. https://t.co/8onOHvSUij",2023-11-14 02:09:03+00:00
33,Alexandria Ocasio-Cortez,"RT @SenWhitehouse: The question is enforcement: where do you file a complaint; who reviews it; how does fact finding occur; who compares what happened to what’s allowed? 

That’s where the rubber hits the road. 🧵 https://t.co/5eri7FAyQv",2023-11-14 02:12:00+00:00
34,Sheldon Whitehouse,"The question is enforcement: where do you file a complaint; who reviews it; how does fact finding occur; who compares what happened to what’s allowed? 

That’s where the rubber hits the road. 🧵 https://t.co/5eri7FAyQv",2023-11-13 20:08:20+00:00
35,Alexandria Ocasio-Cortez,There is power in a union. Congratulations @sagaftra!,2023-11-09 17:34:38+00:00
36,SAG-AFTRA,"THE #SagAftraStrike IS OVER.

🧵 Thread below. https://t.co/KDTl9uKBRt",2023-11-09 02:28:42+00:00
37,Alexandria Ocasio-Cortez,"RT @RepRashida: I am the only Palestinian American serving in Congress, and my perspective is needed here now more than ever. I will not be silenced and I will not let anyone distort my words.

I’m from Detroit, where I learned to speak truth to power, even if my voice shakes. https://t.co/bXhGPCcKat",2023-11-08 15:08:22+00:00
38,Congresswoman Rashida Tlaib,"I am the only Palestinian American serving in Congress, and my perspective is needed here now more than ever. I will not be silenced and I will not let anyone distort my words.

I’m from Detroit, where I learned to speak truth to power, even if my voice shakes. https://t.co/bXhGPCcKat",2023-11-07 21:10:01+00:00
39,Alexandria Ocasio-Cortez,"It is not lost on anyone how many offensive, violent, and racist things people regularly hear members of Congress say, yet virtually the only one that gets censured for her political speech also happens to be the only Palestinian American.

It does not reflect well. At all.",2023-11-08 14:01:52+00:00
40,The Recount,"“This resolution is about one thing and one thing only: the punishment of speech.”

– Rep. Jamie Raskin (D-MD) speaks in opposition to a resolution to censure Rep. Rashida Tlaib (D-MI) https://t.co/XSU6kMUaeH",2023-11-07 20:20:02+00:00
41,Alexandria Ocasio-Cortez,"Presenting: Team AOC's 2022 Unwrapped! 🎁

Ever wonder what your Representative has been up to? We're proud to share our annual report to constituents and supporters across the country!

Here's our 22 Wins for 2022🏆
Want to help for 2023? Share + sign up: https://t.co/0o7guZ7Hbm https://t.co/ucb6Hcd6Ai",2022-12-21 18:18:34+00:00
42,Alexandria Ocasio-Cortez,"RT @mehdirhasan: 10,000-plus Palestinians killed, including 4,000-plus kids, and the U.S. House of Representatives is busy censuring… the only Palestinian-American member. Can’t make this stuff up.",2023-11-08 05:23:09+00:00
43,Mehdi Hasan,"10,000-plus Palestinians killed, including 4,000-plus kids, and the U.S. House of Representatives is busy censuring… the only Palestinian-American member. Can’t make this stuff up.",2023-11-08 03:36:29+00:00
44,Arthur Delaney 🇺🇸,Rashida Tlaib CENSURED w/ 22 Dems joining Republicans https://t.co/I5quw6BjuP,2023-11-08 03:28:35+00:00
45,Alexandria Ocasio-Cortez,"RT @Redistrict: I've seen enough: in a victory for the pro-choice side, Ohio Issue 1, a measure to establish a right to an abortion in the state constitution, passes.",2023-11-08 03:54:02+00:00
46,Dave Wasserman,"I've seen enough: in a victory for the pro-choice side, Ohio Issue 1, a measure to establish a right to an abortion in the state constitution, passes.",2023-11-08 01:26:12+00:00
47,Alexandria Ocasio-Cortez,RT @rafaelshimunov: Jewish activists with @jvplive have taken the Statue of Liberty for #CeasefireForNOW in Gaza https://t.co/InqkVEmLQP,2023-11-06 18:17:52+00:00
48,Rafael Shimunov,Jewish activists with @jvplive have taken the Statue of Liberty for #CeasefireForNOW in Gaza https://t.co/InqkVEmLQP,2023-11-06 17:59:18+00:00
49,Alexandria Ocasio-Cortez,RT @patrickgaspard: I’m struck by the absolute certitude and hearing yet again there’s an expertise that some have about making war and that those protesting lack. I remember protesting my Govt voting to give war authorization in Iraq. We were told that we just didn’t understand. With this certitude,2023-11-05 22:46:13+00:00
50,Patrick Gaspard,I’m struck by the absolute certitude and hearing yet again there’s an expertise that some have about making war and that those protesting lack. I remember protesting my Govt voting to give war authorization in Iraq. We were told that we just didn’t understand. With this certitude,2023-11-05 13:38:49+00:00
51,Yashar Ali 🐘,"In a conversation with @NorahODonnell, Secretary Hillary Clinton on those calling for a ceasefire: 

“People who are calling for a ceasefire now do not understand Hamas, that is not possible. It would be such a gift to Hamas because they would spend whatever time there was a ceasefire in effect rebuilding their armaments, creating stronger positions to be able to fend off an eventual assault by the Israelis.” 

She also added that the Israeli government had a responsibility to limit civilian casualties.",2023-10-30 03:46:13+00:00
52,Alexandria Ocasio-Cortez,"RT @MoveOn: As @AIPAC continues to attack progressives, it's critical to remember that AIPAC fights diplomacy, has routinely engaged in Islamophobic smears, and, through its support of over 100 insurrectionist Republicans, remains an opponent of democracy.",2023-11-04 17:01:43+00:00
53,MoveOn,"As @AIPAC continues to attack progressives, it's critical to remember that AIPAC fights diplomacy, has routinely engaged in Islamophobic smears, and, through its support of over 100 insurrectionist Republicans, remains an opponent of democracy.",2023-11-03 19:03:33+00:00
54,Alexandria Ocasio-Cortez,"AIPAC endorsed scores of Jan 6th insurrectionists. They are no friend to American democracy.

They are one of the more racist and bigoted PACs in Congress as well, who disproportionately target members of color.

They are an extremist organization that destabilizes US democracy.",2023-11-01 01:30:28+00:00
55,Alexandria Ocasio-Cortez,"Our country subjects people in need of food assistance to a litany of conditions to qualify, yet refuses to place a *single* condition on billions of public funds to prevent enabling an atrocity.

It is appalling. Thousands of children, dead. This is the result of “no red lines.”",2023-11-04 16:02:13+00:00
