,Name,Text,Time
31,Joe Biden,"This month, the American people voted to protect our fundamental freedoms like the right to choose.

They voted to protect our democracy.
They voted against the extremism of our opponents.

They voted for the progress that @KamalaHarris and I have been making.",2023-11-19 21:05:01+00:00
32,Joe Biden,"For too long, women have been underrepresented when it comes to health research and the money spent on that research. We’re changing that.

We announced the first-ever White House Initiative on Women’s Health Research, changing how we approach and fund women’s health research. https://t.co/0Js8KBupt9",2023-11-19 16:23:05+00:00
33,Joe Biden,"RT @POTUS: The choices we make today will determine the direction of our future for generations to come.

So, will we relentlessly pursue our vision or allow others to drag the world into danger and division?

America cannot, and will not, let that happen.",2023-11-19 01:13:52+00:00
34,President Biden,"The choices we make today will determine the direction of our future for generations to come.

So, will we relentlessly pursue our vision or allow others to drag the world into danger and division?

America cannot, and will not, let that happen.",2023-11-18 19:23:53+00:00
35,Washington Post Opinions,"The world looks to us to solve the problems of our time, @potus writes in a guest opinion. 

“That is the duty of leadership, and America will lead.” https://t.co/n6iWLNOg8n https://t.co/5dAZDhcvGb",2023-11-18 19:21:50+00:00
36,Joe Biden,I’m proud to be the most pro-union president in American history. https://t.co/z8mjhInL0C,2023-11-18 22:54:21+00:00
37,Joe Biden,"There are more people in the U.S. workforce today than any time in American history. Unemployment has been under 4% for 21 straight months.

There’s more to do, but inflation has come down by 65%, and we now have the lowest inflation rate of any advanced economy in the world. https://t.co/Rr9Wa7THNa",2023-11-18 16:35:05+00:00
38,Joe Biden,RT @POTUS: Last night I signed a bill preventing a government shutdown. It’s an important step but we have more to do. I urge Congress to address our national security and domestic needs — and House Republicans to stop wasting time on extreme bills and honor our bipartisan budget agreement. https://t.co/6Ja5jW4YPR,2023-11-17 12:58:31+00:00
39,President Biden,Last night I signed a bill preventing a government shutdown. It’s an important step but we have more to do. I urge Congress to address our national security and domestic needs — and House Republicans to stop wasting time on extreme bills and honor our bipartisan budget agreement. https://t.co/6Ja5jW4YPR,2023-11-17 12:10:28+00:00
40,Joe Biden,"I’m fighting every day to continue lowering costs for hardworking families so they have more breathing room.

Instead of joining me, Congressional Republicans are fighting to slash taxes for the wealthy and big corporations while standing with Big Pharma.

I won’t let them.",2023-11-16 22:57:00+00:00
