,Name,Text,Time
10,Ted Cruz,"RT @BillAckman: December 3, 2023

Dear President Gay,
Since my letter to you of November 4th to which you did not reply or even acknowledge, I have received substantial feedback and input from senior members of the Harvard faculty about a number of the issues I raised in my letter concerning free speech, antisemitism, and the impact of the Office of Equity, Diversity, Inclusion and Belonging (OEDIB) at Harvard. I thought to share this feedback with you now as it may inform your testimony and potential questions you may receive from the Congress on Tuesday.

Free Speech at Harvard

In several of your communications since October 7th, you have emphasized Harvard’s commitment to free speech as the reason why the university has continued to permit eliminationist and threatening language on campus – i.e., calls for Intifada (suicide bombings, knifings, etc. of Israeli civilians) and the elimination of the state of Israel “From the River to the Sea.” You explained your tolerance for these protests on October 13th: “[O]ur university embraces a commitment to free expression. That commitment extends even to views that many of us find objectionable, even outrageous.”

In my letter to you, however, I noted that In The Foundation for Individual Rights and Expression (FIRE) Free Speech Rankings, Harvard has consistently finished in the bottom quartile in each of the past four years. I note that Harvard’s ranking has deteriorated each year, receiving its lowest free speech ranking ever for the 2023 academic year, last out of 254 universities with a rating of 0.00, the only university with an “abysmal” speech climate.

After sending my letter, I reached out to the faculty to reconcile your free speech absolutist commitment with Harvard having the lowest free speech ranking of any university. The faculty had a lot to say on this issue, as well as on antisemitism and the OEDIB. Notably, they were willing to share their views so long as I committed to keep their identities confidential. I have quoted their remarks below:

On Free Speech

“Years ago, Harvard stopped being a place where all perspectives were welcome.”

“Harvard is a place where loud, hate-filled protests appear to be encouraged, but where faculty and students can’t share points of view that are inconsistent with the accepted narrative on campus.”

“Harvard became a place where if you toed the party line, there was applause. If you disagree, you are drowned out. The gatekeepers of speech continue to further narrow what they deem acceptable speech.”

“The primary problem with speech at Harvard is that if you say the wrong thing, you will be cancelled, which leads to self-censorship. The result is what you actually think is not what you say.”

“Saying anything that doesn’t highlight the importance of slavery and colonialism as animating forces of history is not acceptable speech. Lived experience and ideology become the dominant forces of conversation. All of the courses follow the same playbook ideology. Ideology poses as coursework.”

On Antisemitism, Support for Hamas, and the Protests Against Israel

When I asked members of the faculty about the causes behind the Israeli/Gaza protests and the tolerance for antisemitism on campus, they explained:

“Whiteness at Harvard is deemed fundamentally oppressive. Indigenous peoples are presented as in need of justice and reparations. Jews are presented as white people. It is therefore ok to hate Israel and Jews as they are deemed to be oppressors.”

I asked: “Why are the protests only about Israel versus other conflicts in the Middle East and around the globe where Palestinians and other civilians were killed?”

“Israel is the rare case where we have a hot conflict between people that are deemed ‘white’ versus people of color.”

The Office of Diversity, Equity, Inclusion and Belonging (ODEIB)

“The primary animating force of the ODEIB is racism-colonialism and the denial of indigenous rights. The ODEIB is a home for people who are perceived to have been victimized.”

“The ODEIB was meant to include Asians, but it does not. It is focused on communities that experienced colonialism.”

“Recency matters. India is not included because they got autonomy 70 years ago.”

“The ODEIB is at the service of black students, to a lesser extent brown students, and to a lesser extent LGBTQ students.”

“It’s about whiteness versus people of color.”

“The DEI framework prioritizes people on the oppressed side of the narrative.”

Hiring Practices at Harvard

One topic which emerged when I spoke to the faculty was the issue of hiring at Harvard, an issue about which the faculty clearly has a lot of consternation.

When I asked why Harvard’s faculty has shifted sharply leftward in recent years, they explained:

“Each department decides whom they want, and the university can accept or reject the candidate. Left-leaning faculty appoint other left-wing faculty because they get to decide whom to hire and promote. It’s a bit like the Twitter algorithm which continues to feed you the points of view you want to hear. Eventually, each department reaches the tipping point.”

One senior member of the faculty shared that it is made abundantly clear that they cannot hire new faculty members unless they meet ODEIB requirements. That is, the candidate has to be a woman, person of color, or have LGBTQ+ status. Straight white males are “off the table.” Asians and those of South Asian (i.e., India) heritage are similarly disadvantaged in the process as they are deemed successful, overachieving minorities.

A number of the faculty bemoaned that in many cases they cannot hire the substantially more qualified person if he is a white or Asian straight male as the proposed candidate “has to be a woman or BIPOC person.”  I was told that behind closed doors, it is common to hear: “I clearly don’t think this is the strongest candidate, but we can see where the train is headed. I therefore have no choice but to vote for the [lesser-qualified candidate.]”

It is made clear to the faculty that Harvard’s discriminatory approach to hiring should never be acknowledged or written about in an email. One professor said that he has been continually amazed that no one has brought a lawsuit as these practices are clearly illegal.

One faculty member explained that it is not just the administration that has been putting forth these requirements, but that external organizations like The Chronicle of Higher Education (TCHE) do “investigative reporting” where they do racial and gender audits of university departments. TCHE publicly scolds university departments that don’t meet their diversity requirements further reinforcing Harvard’s requirement for ODEIB-preferred candidates.

On all of the above issues, I know you will not rely on my survey of the faculty. I therefore encourage you to commission a highly credible, third-party firm to do an anonymous survey of the Harvard faculty. I am confident it will confirm and reinforce all that I have outlined above.

Discrimination at Harvard Is Not Limited to Antisemitism

The problems at Harvard are clearly not just about Jews and Israel. It is abundantly clear that straight white males are discriminated against in recruitment and advancement at Harvard. That is also apparently true to a somewhat lesser extent for men who are Asians or of Indian origin. The ODEIB is an important culprit in this discrimination on campus as it sees the world in a framework of oppressors and the oppressed, where the oppressor class includes white males, Asians, Jews and other people perceived to be successful and powerful.

While Harvard claims that it is committed to free expression, in practice free expression appears to only happen “behind closed doors” or among faculty and students speaking anonymously.

Conservative voices are squelched and often outright cancelled on campus. Tyler J. VanderWeele and Carole K. Hooven are two recent examples.

In March of this year, Mr. VanderWeele, the John L. Loeb and Frances Lehman Loeb Professor of Epidemiology, a practicing Catholic, was effectively excommunicated from Harvard (saved only by his tenure) when it was discovered he had signed an amicus brief in 2015 which affirmed his view that the definition of marriage was between a man and a woman, and when he surfaced his pro-life views. See: https://t.co/5DnXLAdfNq

Earlier this year, Ms. Hooven, an evolutionary biologist was cancelled and eventually forced to resign because she stated that one’s sex was biological and binary on Fox and Friends. See: https://t.co/0ipq167Qbm

I am saddened that the Harvard I love has lost its way. I am embarrassed for not having been aware and previously taken the time to investigate these issues until antisemitism exploded on campus. I should have paid more attention as it did not take a forensic analysis to surface and better understand these issues.

Discrimination at Harvard is not just illegal, but it is extremely damaging to our nation’s competitiveness, which is critically important in a world with growing geopolitical conflict and turmoil. Harvard should be an institution for our best and brightest, taught by our best and brightest who are in search of Veritas and excellence. Russia, China, and our other competitor nations are not selecting their scientific and educational leaders using Harvard’s diversity, equity and inclusion metrics.

President Gay, beginning with your testimony to Congress on Tuesday, you can begin to address the antisemitism that has exploded on campus during your presidency, the seeds for which began years before you became President. But as I hope you recognize, the issues at Harvard are much more expansive than antisemitism. Antisemitism is the canary in the coal mine for other discriminatory practices at Harvard.

As President you have both the opportunity and the responsibility for addressing these critically important issues. It won’t be easy for you as I have been told that your recent “pivot on antisemitism” is already making the radical left wing of the faculty highly skeptical of you.

When 34 Harvard student organizations came out in support of Hamas’ barbaric terrorism, it was a wake up call for me. I hope that having to face the Congress on Tuesday will be a wake-up call for you.

Sincerely,

William A. Ackman, A.B. 1988, MBA 1992

Cc: Ms. Penny Pritzker, Chairman,
and The Harvard Corporation Board",2023-12-04 19:19:40+00:00
11,Bill Ackman,"December 3, 2023

Dear President Gay,
Since my letter to you of November 4th to which you did not reply or even acknowledge, I have received substantial feedback and input from senior members of the Harvard faculty about a number of the issues I raised in my letter concerning free speech, antisemitism, and the impact of the Office of Equity, Diversity, Inclusion and Belonging (OEDIB) at Harvard. I thought to share this feedback with you now as it may inform your testimony and potential questions you may receive from the Congress on Tuesday.

Free Speech at Harvard

In several of your communications since October 7th, you have emphasized Harvard’s commitment to free speech as the reason why the university has continued to permit eliminationist and threatening language on campus – i.e., calls for Intifada (suicide bombings, knifings, etc. of Israeli civilians) and the elimination of the state of Israel “From the River to the Sea.” You explained your tolerance for these protests on October 13th: “[O]ur university embraces a commitment to free expression. That commitment extends even to views that many of us find objectionable, even outrageous.”

In my letter to you, however, I noted that In The Foundation for Individual Rights and Expression (FIRE) Free Speech Rankings, Harvard has consistently finished in the bottom quartile in each of the past four years. I note that Harvard’s ranking has deteriorated each year, receiving its lowest free speech ranking ever for the 2023 academic year, last out of 254 universities with a rating of 0.00, the only university with an “abysmal” speech climate.

After sending my letter, I reached out to the faculty to reconcile your free speech absolutist commitment with Harvard having the lowest free speech ranking of any university. The faculty had a lot to say on this issue, as well as on antisemitism and the OEDIB. Notably, they were willing to share their views so long as I committed to keep their identities confidential. I have quoted their remarks below:

On Free Speech

“Years ago, Harvard stopped being a place where all perspectives were welcome.”

“Harvard is a place where loud, hate-filled protests appear to be encouraged, but where faculty and students can’t share points of view that are inconsistent with the accepted narrative on campus.”

“Harvard became a place where if you toed the party line, there was applause. If you disagree, you are drowned out. The gatekeepers of speech continue to further narrow what they deem acceptable speech.”

“The primary problem with speech at Harvard is that if you say the wrong thing, you will be cancelled, which leads to self-censorship. The result is what you actually think is not what you say.”

“Saying anything that doesn’t highlight the importance of slavery and colonialism as animating forces of history is not acceptable speech. Lived experience and ideology become the dominant forces of conversation. All of the courses follow the same playbook ideology. Ideology poses as coursework.”

On Antisemitism, Support for Hamas, and the Protests Against Israel

When I asked members of the faculty about the causes behind the Israeli/Gaza protests and the tolerance for antisemitism on campus, they explained:

“Whiteness at Harvard is deemed fundamentally oppressive. Indigenous peoples are presented as in need of justice and reparations. Jews are presented as white people. It is therefore ok to hate Israel and Jews as they are deemed to be oppressors.”

I asked: “Why are the protests only about Israel versus other conflicts in the Middle East and around the globe where Palestinians and other civilians were killed?”

“Israel is the rare case where we have a hot conflict between people that are deemed ‘white’ versus people of color.”

The Office of Diversity, Equity, Inclusion and Belonging (ODEIB)

“The primary animating force of the ODEIB is racism-colonialism and the denial of indigenous rights. The ODEIB is a home for people who are perceived to have been victimized.”

“The ODEIB was meant to include Asians, but it does not. It is focused on communities that experienced colonialism.”

“Recency matters. India is not included because they got autonomy 70 years ago.”

“The ODEIB is at the service of black students, to a lesser extent brown students, and to a lesser extent LGBTQ students.”

“It’s about whiteness versus people of color.”

“The DEI framework prioritizes people on the oppressed side of the narrative.”

Hiring Practices at Harvard

One topic which emerged when I spoke to the faculty was the issue of hiring at Harvard, an issue about which the faculty clearly has a lot of consternation.

When I asked why Harvard’s faculty has shifted sharply leftward in recent years, they explained:

“Each department decides whom they want, and the university can accept or reject the candidate. Left-leaning faculty appoint other left-wing faculty because they get to decide whom to hire and promote. It’s a bit like the Twitter algorithm which continues to feed you the points of view you want to hear. Eventually, each department reaches the tipping point.”

One senior member of the faculty shared that it is made abundantly clear that they cannot hire new faculty members unless they meet ODEIB requirements. That is, the candidate has to be a woman, person of color, or have LGBTQ+ status. Straight white males are “off the table.” Asians and those of South Asian (i.e., India) heritage are similarly disadvantaged in the process as they are deemed successful, overachieving minorities.

A number of the faculty bemoaned that in many cases they cannot hire the substantially more qualified person if he is a white or Asian straight male as the proposed candidate “has to be a woman or BIPOC person.”  I was told that behind closed doors, it is common to hear: “I clearly don’t think this is the strongest candidate, but we can see where the train is headed. I therefore have no choice but to vote for the [lesser-qualified candidate.]”

It is made clear to the faculty that Harvard’s discriminatory approach to hiring should never be acknowledged or written about in an email. One professor said that he has been continually amazed that no one has brought a lawsuit as these practices are clearly illegal.

One faculty member explained that it is not just the administration that has been putting forth these requirements, but that external organizations like The Chronicle of Higher Education (TCHE) do “investigative reporting” where they do racial and gender audits of university departments. TCHE publicly scolds university departments that don’t meet their diversity requirements further reinforcing Harvard’s requirement for ODEIB-preferred candidates.

On all of the above issues, I know you will not rely on my survey of the faculty. I therefore encourage you to commission a highly credible, third-party firm to do an anonymous survey of the Harvard faculty. I am confident it will confirm and reinforce all that I have outlined above.

Discrimination at Harvard Is Not Limited to Antisemitism

The problems at Harvard are clearly not just about Jews and Israel. It is abundantly clear that straight white males are discriminated against in recruitment and advancement at Harvard. That is also apparently true to a somewhat lesser extent for men who are Asians or of Indian origin. The ODEIB is an important culprit in this discrimination on campus as it sees the world in a framework of oppressors and the oppressed, where the oppressor class includes white males, Asians, Jews and other people perceived to be successful and powerful.

While Harvard claims that it is committed to free expression, in practice free expression appears to only happen “behind closed doors” or among faculty and students speaking anonymously.

Conservative voices are squelched and often outright cancelled on campus. Tyler J. VanderWeele and Carole K. Hooven are two recent examples.

In March of this year, Mr. VanderWeele, the John L. Loeb and Frances Lehman Loeb Professor of Epidemiology, a practicing Catholic, was effectively excommunicated from Harvard (saved only by his tenure) when it was discovered he had signed an amicus brief in 2015 which affirmed his view that the definition of marriage was between a man and a woman, and when he surfaced his pro-life views. See: https://t.co/5DnXLAdfNq

Earlier this year, Ms. Hooven, an evolutionary biologist was cancelled and eventually forced to resign because she stated that one’s sex was biological and binary on Fox and Friends. See: https://t.co/0ipq167Qbm

I am saddened that the Harvard I love has lost its way. I am embarrassed for not having been aware and previously taken the time to investigate these issues until antisemitism exploded on campus. I should have paid more attention as it did not take a forensic analysis to surface and better understand these issues.

Discrimination at Harvard is not just illegal, but it is extremely damaging to our nation’s competitiveness, which is critically important in a world with growing geopolitical conflict and turmoil. Harvard should be an institution for our best and brightest, taught by our best and brightest who are in search of Veritas and excellence. Russia, China, and our other competitor nations are not selecting their scientific and educational leaders using Harvard’s diversity, equity and inclusion metrics.

President Gay, beginning with your testimony to Congress on Tuesday, you can begin to address the antisemitism that has exploded on campus during your presidency, the seeds for which began years before you became President. But as I hope you recognize, the issues at Harvard are much more expansive than antisemitism. Antisemitism is the canary in the coal mine for other discriminatory practices at Harvard.

As President you have both the opportunity and the responsibility for addressing these critically important issues. It won’t be easy for you as I have been told that your recent “pivot on antisemitism” is already making the radical left wing of the faculty highly skeptical of you.

When 34 Harvard student organizations came out in support of Hamas’ barbaric terrorism, it was a wake up call for me. I hope that having to face the Congress on Tuesday will be a wake-up call for you.

Sincerely,

William A. Ackman, A.B. 1988, MBA 1992

Cc: Ms. Penny Pritzker, Chairman,
and The Harvard Corporation Board",2023-12-04 04:33:01+00:00
12,Ted Cruz,"Extremely powerful letter from @BillAckman 

Worth reading in full 👇",2023-12-04 19:19:30+00:00
13,Ted Cruz,"RT @RepOgles: The media's only play on this? Gaslighting &amp; obfuscation. 

Leftist shills choose to openly advocate for constitutional violations rather than concede @tedcruz’s point. 

Let's be clear: compelled speech is a direct attack on free speech.",2023-12-04 15:58:56+00:00
14,Rep. Andy Ogles,"The media's only play on this? Gaslighting &amp; obfuscation. 

Leftist shills choose to openly advocate for constitutional violations rather than concede @tedcruz’s point. 

Let's be clear: compelled speech is a direct attack on free speech.",2023-12-02 03:19:05+00:00
15,Ted Cruz,"Lying hacks. My bill doesn't ban anyone from saying anything. The First Amendment allows you to call me ""Ted,"" ""Rafael,"" ""a wacko bird,"" or whatever else you want.

Rather, my bill prohibits the federal government from FORCING anyone to use preferred pronouns or names. IE, it would ban the government from compelling you to call me “Ted.”

See the difference?

Show some respect for religious liberty and free speech and fix your dishonest headline.",2023-12-01 02:39:48+00:00
16,Ted Cruz,"RT @theMRC: The leftist media had a total meltdown over Sen. Ted Cruz's new free speech bill which would “prohibit federal agencies from forcing an employee or contractor to use personal pronouns that contradict with an individual’s biological sex.” 
https://t.co/TYeNHI5n07",2023-12-04 15:49:03+00:00
17,Media Research Center,"The leftist media had a total meltdown over Sen. Ted Cruz's new free speech bill which would “prohibit federal agencies from forcing an employee or contractor to use personal pronouns that contradict with an individual’s biological sex.” 
https://t.co/TYeNHI5n07",2023-12-01 17:03:26+00:00
18,Ted Cruz,"War Stories from the Court: Remembering Justice Sandra Day O’Connor. 

On this special episode of Verdict, @benfergusonshow and I take you behind the scenes of my time clerking at the Supreme Court and arguing cases there. Don’t miss these stories!
https://t.co/i6jODIpUfi",2023-12-04 15:32:53+00:00
19,Ted Cruz,The community note is spectacular.,2023-12-04 13:49:18+00:00
