,Name,Text,Time
26,Chuck Schumer,"I’ve long fought for this.

And thanks to the Infrastructure Law and the American Rescue Plan we passed:

Lead pipes are going to be removed in cities throughout the country!",2023-12-01 15:15:27+00:00
27,AP Climate,The Biden administration wants most cities to replace their lead water pipes in 10 years. It is the strongest overhaul of lead in water rules in more than three decades. https://t.co/Xr1PB6QjWU,2023-11-30 20:45:13+00:00
28,Chuck Schumer,"RT @amyschumer: Please listen to every word. No matter what you believe. It is not graphic. This is a speech about the Jewish people from my second cousin once removed. Please take the time I implore you. Please share if it moves you. Stay strong beautiful people whatever faith you were born into. Whatever your sexuality, skin color. Abilities. I love you.",2023-12-03 19:53:09+00:00
29,Amy Schumer,"Please listen to every word. No matter what you believe. It is not graphic. This is a speech about the Jewish people from my second cousin once removed. Please take the time I implore you. Please share if it moves you. Stay strong beautiful people whatever faith you were born into. Whatever your sexuality, skin color. Abilities. I love you.",2023-12-03 19:39:25+00:00
30,Chuck Schumer,"RT @gantzbe: I just finished speaking to Senate Majority Leader @SenSchumer.

I updated the Majority Leader on both the war and regional developments and emphasised to him the importance of completing the mission of dismantling Hamas in Gaza and returning the hostages brutally held captive. 

We further discussed the alarming rise in antisemitism across the world and the United States, and I conveyed my profound appreciation for his moving speech yesterday on the Senate floor on the matter.",2023-12-01 00:37:14+00:00
31,בני גנץ - Benny Gantz,"I just finished speaking to Senate Majority Leader @SenSchumer.

I updated the Majority Leader on both the war and regional developments and emphasised to him the importance of completing the mission of dismantling Hamas in Gaza and returning the hostages brutally held captive. 

We further discussed the alarming rise in antisemitism across the world and the United States, and I conveyed my profound appreciation for his moving speech yesterday on the Senate floor on the matter.",2023-11-30 20:55:59+00:00
32,Chuck Schumer,"November is #NationalDiabetesMonth.

In the Inflation Reduction Act, Democrats secured a $35 monthly cap on insulin for people with Medicare.

We'll keep working to cap the cost of insulin for all Americans.",2023-11-30 21:11:51+00:00
33,Chuck Schumer,"The Senate is moving forward on Irma Ramirez's nomination to serve as a Circuit Court Judge for the Fifth Circuit.

She would become the first Latina ever to sit on the Fifth Circuit, and the only active Latino judge on the court!",2023-11-30 20:38:48+00:00
34,Chuck Schumer,"After our 7th bipartisan AI Insight Forum, we heard strong calls on a few important points. We must:

Enforce protections for creators
Protect American companies’ intellectual property
Ensure AI systems are transparent
Prioritize our North Star when it comes to AI: Innovation",2023-11-30 20:12:00+00:00
35,Chuck Schumer,"The Senate is continuing the work to pass a much-needed national security supplemental package.

We must deliver aid to Israel, aid to Ukraine, humanitarian assistance to innocent civilians in Gaza, and strengthen our military capabilities in the Indo-Pacific.",2023-11-30 19:52:14+00:00
36,Chuck Schumer,"The Senate Judiciary Committee took an important step by authorizing subpoenas to Harlan Crow and Leonard Leo, who have used their power and wealth to gain undisclosed access to Supreme Court Justices.

I support the Judiciary Committee’s vote to authorize these subpoenas.",2023-11-30 19:30:33+00:00
37,Chuck Schumer,"All Americans share a responsibility and an obligation to fight against antisemitism no matter where it comes from.

We have an obligation to fight back against all forms of bigotry, be it antisemitism, Islamophobia, racism, or demonizing immigrants.",2023-11-30 19:21:34+00:00
38,Chuck Schumer,"NEWS: The Senate has just confirmed Shanlyn Park to serve as a US District Judge for the District of Hawaii.

She is now the only Native Hawaiian woman on the federal bench! https://t.co/KbmOD4ZLrF",2023-11-30 18:54:34+00:00
39,Chuck Schumer,"I gave a major address yesterday on the Senate floor on antisemitism.

If you missed it, you can read the speech here: https://t.co/AiKDwkPHVS

And can watch the speech here:",2023-11-30 15:44:21+00:00
40,Chuck Schumer,"Today, I’m giving a major address on the Senate floor on the dangerous and disturbing rise of antisemitism in America.

Watch live: https://t.co/SeHnGFJdLq",2023-11-29 15:03:31+00:00
41,Chuck Schumer,"RT @SecondGentleman: Thank you @SenSchumer for forcefully speaking out against the ongoing crisis of antisemitism.
 
The Biden-Harris Administration will continue fighting to combat this epidemic of hate.",2023-11-30 01:15:26+00:00
42,Douglas Emhoff,"Thank you @SenSchumer for forcefully speaking out against the ongoing crisis of antisemitism.
 
The Biden-Harris Administration will continue fighting to combat this epidemic of hate.",2023-11-30 01:13:08+00:00
43,Chuck Schumer,"Antisemitism is a crisis.

Jewish Americans represent 2% of the population, yet are the targets of 55% of all religion-based hate crimes.

This problem has been worsening in recent years, but since October 7th, hate crimes against Jewish Americans have skyrocketed by over 300%.",2023-11-29 17:49:06+00:00
44,Chuck Schumer,"I was so proud to host the Senate Diversity Initiative Reception.

For the 4th year in a row, the number of diverse staffers increased—reaching the highest level in the history of our caucus.

Our democracy can only thrive when all voices are represented. We must keep improving. https://t.co/51OVWRgrsS",2023-11-30 01:10:34+00:00
45,Chuck Schumer,"Senators Rounds, Heinrich, Young, &amp; I held the 7th bipartisan AI Insight Forum on:

Transparency, explainability, intellectual property, copyright

We must promote transparency, protect creators' rights, enforce intellectual property standards, while protecting innovation in AI https://t.co/vRpPLApTzQ",2023-11-29 23:34:49+00:00
46,Chuck Schumer,RT @SenBlumenthal: A deeply personal &amp; powerful speech by @SenSchumer articulates the fear &amp; anger felt so widely by American Jews &amp; other groups targeted by violent extremism driven by hate.,2023-11-29 21:36:38+00:00
47,Richard Blumenthal,A deeply personal &amp; powerful speech by @SenSchumer articulates the fear &amp; anger felt so widely by American Jews &amp; other groups targeted by violent extremism driven by hate.,2023-11-29 17:30:10+00:00
48,Chuck Schumer,RT @ChrisMurphyCT: A really important watch.,2023-11-29 21:36:23+00:00
49,Chris Murphy 🟧,A really important watch.,2023-11-29 19:48:35+00:00
50,Chuck Schumer,"RT @ChrisCoons: Thank you to my friend @SenSchumer for using his platform as our nation's highest Jewish elected official to call out the scourge of antisemitism. Hate, in every form, has no place in America. https://t.co/qUTSbJ02Q4",2023-11-29 21:36:02+00:00
51,Senator Chris Coons,"Thank you to my friend @SenSchumer for using his platform as our nation's highest Jewish elected official to call out the scourge of antisemitism. Hate, in every form, has no place in America. https://t.co/qUTSbJ02Q4",2023-11-29 18:08:57+00:00
52,Chuck Schumer,RT @SenJeffMerkley: This is worth watching:,2023-11-29 21:35:41+00:00
53,Senator Jeff Merkley,This is worth watching:,2023-11-29 18:20:48+00:00
54,CSPAN,".@SenSchumer: ""To us, the Jewish people, the rise of antisemitism is a crisis, a five-alarm fire that must be extinguished."" 

Watch more here: https://t.co/4PjqyW5lyk https://t.co/KTGxr5OCUu",2023-11-29 15:12:44+00:00
55,Chuck Schumer,"Building a more perfect union, one that fulfills our founding ideals, is our longest and most solemn struggle as a country.

We are called to do all we can to achieve that higher standard.

This is why I gave a major address on the dangerous rise of antisemitism in America. https://t.co/4EsbxRlbNf",2023-11-29 20:26:53+00:00
56,Chuck Schumer,"RT @SEichenstein: A strong and passionate speech on the alarming rise of antisemitism from the highest ranking Jew in the history of the United States, @SenSchumer.

This should be required listening for all, especially our young people.

Thank you Senator for your candid and powerful remarks.",2023-11-29 20:05:32+00:00
57,Simcha Eichenstein,"A strong and passionate speech on the alarming rise of antisemitism from the highest ranking Jew in the history of the United States, @SenSchumer.

This should be required listening for all, especially our young people.

Thank you Senator for your candid and powerful remarks.",2023-11-29 19:09:53+00:00
58,Chuck Schumer,"RT @jacobkornbluh: This morning, Senate Majority Leader Chuck Schumer addressed rise in antisemitism. 

Schumer called the crisis ""a five-alarm fire that must be extinguished.""

He described ""the fears and anxieties of many Jewish Americans"" after Oct. 7 now feeling ""targeted and isolated."" https://t.co/vS30M1yidu",2023-11-29 20:05:01+00:00
59,Jacob N. Kornbluh,"This morning, Senate Majority Leader Chuck Schumer addressed rise in antisemitism. 

Schumer called the crisis ""a five-alarm fire that must be extinguished.""

He described ""the fears and anxieties of many Jewish Americans"" after Oct. 7 now feeling ""targeted and isolated."" https://t.co/vS30M1yidu",2023-11-29 16:54:01+00:00
60,Chuck Schumer,"RT @melissaeweiss: In a powerful speech about antisemitism, @SenSchumer speaks in great detail about the murder of 30 of his relatives on the porch of their home during the Holocaust. The town's Jewish community was forced to gather and watch the massacre.",2023-11-29 20:04:51+00:00
61,Melissa Weiss,"In a powerful speech about antisemitism, @SenSchumer speaks in great detail about the murder of 30 of his relatives on the porch of their home during the Holocaust. The town's Jewish community was forced to gather and watch the massacre.",2023-11-29 15:24:49+00:00
62,Chuck Schumer,RT @YPGoldfeder: I’m watching and so should you! #ThankYou #EndHate,2023-11-29 20:04:36+00:00
63,Phil Goldfeder,I’m watching and so should you! #ThankYou #EndHate,2023-11-29 15:23:04+00:00
64,Chuck Schumer,"Today, I’m giving a major address on the Senate floor on the dangerous and disturbing rise of antisemitism in America.

Watch live: https://t.co/SeHnGFJdLq",2023-11-29 15:03:31+00:00
65,Chuck Schumer,RT @JoshKraushaar: Worth the full watch.,2023-11-29 20:04:21+00:00
66,Josh Kraushaar,Worth the full watch.,2023-11-29 15:27:23+00:00
67,Chuck Schumer,"RT @cindycreem: As one of the high-ranking Jewish public officials in #Massachusetts, I am proud to see @SenSchumer address the concerning rise in antisemitism being experienced in our country.

Poignantly put—“the rise of antisemitism is more than a crisis, it’s a five-alarm fire.”",2023-11-29 20:03:45+00:00
68,Cynthia Creem,"As one of the high-ranking Jewish public officials in #Massachusetts, I am proud to see @SenSchumer address the concerning rise in antisemitism being experienced in our country.

Poignantly put—“the rise of antisemitism is more than a crisis, it’s a five-alarm fire.”",2023-11-29 16:50:27+00:00
69,Chuck Schumer,"For many Jewish people, this feels like a matter of survival, informed once again by history—in this case, very personal history.

Today, in my address on the dangerous and disturbing rise of antisemitism in America, I told the story of my own family on the Senate floor. https://t.co/i74X3Wexjl",2023-11-29 20:01:34+00:00
70,Chuck Schumer,"Are we a nation that can defy the regular course of human history, where the Jewish people have been ostracized, expelled, and massacred?

The answer can and must be a resounding: Yes

As Majority Leader, as a Jewish American, I'll do everything in my power to make it happen.",2023-11-29 19:19:31+00:00
71,Chuck Schumer,"As Americans, we are stewards of the flames of liberty, tolerance, and equality that warm our American melting pot, and make it possible for Jewish Americans to prosper alongside Palestinian Americans, and every other immigrant group from around the world.",2023-11-29 19:02:45+00:00
72,Chuck Schumer,"My plea to all Americans:

—Learn the history of the Jewish people
—Reject the antisemitic double standard being applied to the plight of Jewish victims
—Understand that we defend Israel’s existence as we fear a world where the place of refuge for Jewish people no longer exists",2023-11-29 18:44:45+00:00
73,Chuck Schumer,"RT @DanaBashCNN: ""I have noticed a significant disparity between how Jewish people regard the rise of antisemitism and how many of my non-Jewish friends regard it. To us, the Jewish people, the rise of antisemitism is a crisis, a five-alarm fire that must be extinguished."" - @SenSchumer https://t.co/mPiOWIsfJh",2023-11-29 18:32:13+00:00
74,Dana Bash,"""I have noticed a significant disparity between how Jewish people regard the rise of antisemitism and how many of my non-Jewish friends regard it. To us, the Jewish people, the rise of antisemitism is a crisis, a five-alarm fire that must be extinguished."" - @SenSchumer https://t.co/mPiOWIsfJh",2023-11-29 18:12:55+00:00
